id,title,url,fps,frame_count
ytGPwj77zvA,24.03.2020 - Point de Presse Coronavirus,https://youtube.com/watch?v=ytGPwj77zvA,30.0,136800
aKSbl-xe5Bw,23.03.2020 - Point de Presse Coronavirus,https://youtube.com/watch?v=aKSbl-xe5Bw,30.0,166200
QBdJQC-d5jY,21.03.2020 - Point de Presse Coronavirus,https://youtube.com/watch?v=QBdJQC-d5jY,30.0,140700
5VmkZy1SAyI,"20.03.20 - BR Parmelin, Berset und Maurer zu: Coronavirus  - Aktueller Stand und Entscheide",https://youtube.com/watch?v=5VmkZy1SAyI,30.0,151082
8OHE_161lrQ,19.03.2020 - Point de Presse Coronavirus,https://youtube.com/watch?v=8OHE_161lrQ,30.0,161550
fnuTzODXLvw,16.03.2020 - BR zu: Coronavirus (COVID-19): Aktueller Stand und Entscheide,https://youtube.com/watch?v=fnuTzODXLvw,30.0,170250
FPErCzUiFNM,17.03.2020 - Point de presse Coronavirus,https://youtube.com/watch?v=FPErCzUiFNM,30.0,149250
LFI7vQU-YnY,"13.03.2020 - BR Sommaruga, Berset, Parmelin, Keller-Sutter zu: Coronavirus (COVID-19)",https://youtube.com/watch?v=LFI7vQU-YnY,30.0,169382
h78RwBx4JFE,11.03.2020 : Point de presse Coronavirus,https://youtube.com/watch?v=h78RwBx4JFE,30.0,113700
1VD-G3xOxYQ,06.03.2020 - BR Berset zu: Aktueller Stand & Empfehlungen an die Arbeitgeber und an die Bevölkerung,https://youtube.com/watch?v=1VD-G3xOxYQ,30.0,113426
wNnfC2hoftU,04.03.2020 - Medienkonferenz des BAG,https://youtube.com/watch?v=wNnfC2hoftU,30.0,76827
m44nR1lzogk,29.02.2020 - Point de presse - Coronavirus,https://youtube.com/watch?v=m44nR1lzogk,30.0,63815
OTTTNd4I42A,25.02.2020 - Neues Coronavirus: erster bestätigter Fall in der Schweiz,https://youtube.com/watch?v=OTTTNd4I42A,30.0,40041
Y6d-UM9gSk8,27.02.2020 - Neues Coronavirus: Aktuelle Lage und Lancierung Bevölkerungskampagne,https://youtube.com/watch?v=Y6d-UM9gSk8,30.0,73731
K7ZFQhaK7LQ,28.02.2020 - BR Berset zu: Coronavirus COVID-19: Massnahmen des Bundesrates in einer besonderen Lage,https://youtube.com/watch?v=K7ZFQhaK7LQ,30.0,100905
